"body_weight_kg"	"tissue"	"chronological_age"	"group"	"monkey_id"	"Residual_adult"	"individual_sex"	"bw_adj"
6.64	"kidney"	4	"KK"	"8T4"	-0.310724016656913	"F"	1.55866898221826
4.62	"kidney"	5	"KK"	"7Q3"	2.25996640277405	"F"	-1.04483492559172
6.92	"kidney"	5	"KK"	"4R3"	0.267678672450129	"M"	-0.881568933735395
6.2	"kidney"	9	"KK"	"7J7"	0.654261644944263	"F"	-0.642245824280477
7.22	"kidney"	13	"KK"	"1C7"	-0.929432624976684	"F"	0.276934110297218
6.92	"kidney"	7	"KK"	"5M5"	1.48630281362614	"F"	0.427661175946873
10.66	"kidney"	13	"KK"	"8B3"	-1.96427560203072	"M"	0.222809864350749
9.44	"kidney"	8	"KK"	"6L4"	-0.364430461301103	"M"	-0.66402412343255
7.1	"kidney"	15	"KK"	"44V"	1.99383252627712	"F"	0.173692136091594
5.2	"kidney"	4	"KK"	"6S7"	-1.14160253631396	"M"	-0.844811344910566
9	"kidney"	8	"KK"	"4L7"	1.23315212611613	"M"	-1.10402412343255
7.36	"kidney"	20	"KK"	"76J"	-1.22361354589873	"F"	0.579301419363428
9.38	"kidney"	11	"HH"	"4C6"	-1.51495070963827	"M"	-1.19964325000943
7.62	"kidney"	13	"HH"	"03Z"	1.05305473172617	"F"	0.676934110297218
4.9	"kidney"	3	"HH"	"3R3"	0.187090333654492	"F"	0.452550255001389
6.9	"kidney"	14	"HH"	"62S"	-0.303472707499002	"F"	-0.0382427928782523
7.2	"kidney"	26	"HH"	"V80"	-3.66102508491525	"F"	0.704858610220838
6.62	"kidney"	15	"HH"	"56R"	4.62045732069075	"F"	-0.306307863908405
8.58	"kidney"	11	"HH"	"1B7"	2.75936102792858	"M"	-1.99964325000944
6.72	"kidney"	11	"HH"	"2C7"	0.921746659059523	"F"	-0.209005976200779
6.34	"kidney"	7	"HH"	"4J3"	1.11931170990901	"F"	-0.152338824053127
7.2	"kidney"	9	"HH"	"7E3"	0.499366578879913	"F"	0.357754175719523
5.58	"kidney"	7	"HH"	"5I9"	1.24443361406	"F"	-0.912338824053127
6.04	"kidney"	6	"HH"	"7L7"	1.70966292396468	"F"	-0.107584103455416
6.5	"kidney"	6	"KK"	"1S5"	-0.0569221176876237	"M"	-2.48635230317037
10.7	"kidney"	10	"KK"	"0J1"	0.342304441589022	"M"	0.177142826746516
9.84	"kidney"	6	"KK"	"0R2"	0.480450233107855	"M"	0.853647696829635
10.58	"kidney"	7	"KK"	"9O8"	-0.504502920126535	"M"	0.885989193188038
8.24	"kidney"	13	"KK"	"6D9"	-0.892893030726814	"F"	1.29693411029722
6.92	"kidney"	6	"KK"	"6O7"	0.441986354109948	"F"	0.772415896544583
6.6	"kidney"	15	"HH"	"20S"	4.24137535075851	"F"	-0.326307863908406
10.66	"kidney"	14	"HH"	"60T"	-0.629486968616507	"M"	0.402354804092108
6.64	"adrenal"	4	"KK"	"8T4"	-0.607678911463845	"F"	1.55866898221826
4.62	"adrenal"	5	"KK"	"7Q3"	0.368252618855713	"F"	-1.04483492559172
6.92	"adrenal"	5	"KK"	"4R3"	-1.64440529048314	"M"	-0.881568933735395
7.22	"adrenal"	13	"KK"	"1C7"	0.910814889907237	"F"	0.276934110297218
6.92	"adrenal"	7	"KK"	"5M5"	1.62426555510117	"F"	0.427661175946873
10.66	"adrenal"	13	"KK"	"8B3"	0.0638358398454633	"M"	0.222809864350749
9.44	"adrenal"	8	"KK"	"6L4"	2.40305428094925	"M"	-0.66402412343255
